TX_MUNTY_DESCR_NL,MS_POPULATION
Vresse-sur-Semois,2706
Waarschoot,7870
Waasmunster,10641
Wachtebeke,7340
Walcourt,18319
Walhain,6716
Wanze,13503
Waregem,37155
Wasseiges,2794
Waterloo,29649
Watermaal-Bosvoorde,24408
Waver,33498
Weismes,7309
Welkenraedt,9791
Wellen,7415
Wellin,2973
Wemmel,15586
Wervik,18435
Westerlo,24494
Wetteren,24635
Wevelgem,31063
Wezembeek-Oppem,13894
Wezet,17627
Wichelen,11442
Wielsbeke,9367
Wijnegem,9131
Willebroek,25327
Wingene,14134
Wommelgem,12467
Wortegem-Petegem,6323
Wuustwezel,19872
Yvoir,8892
Zandhoven,12729
Zaventem,32388
Zedelgem,22299
Zele,20713
Zelzate,12499
Zemst,22587
Zingem,7459
Zinnik,26796
Zoersel,21573
Zomergem,8302
Zonhoven,21139
Zonnebeke,12379
Zottegem,25689
Zoutleeuw,8292
Zuienkerke,2740
Zulte,15570
Zutendaal,7109
Zwalm,8070
Zwevegem,24258
Zwijndrecht,18952
’s Gravenbrakel,21337
